vocabulary;variant_of;meaning;language;about_ethnicity;about_nationality;about_religion;about_gender;about_sexual_orientation;about_disability;about_class;archaic
"African catfish";;"Referring to Muslims in Myanmar as an invasive species";eng;1;0;1;0;0;0;0;0
Africoon;;"Combination of African and 'coon'.";eng;1;0;0;0;0;0;0;0
Afro-Saxon;;"Caucasian person who 'acts black'";eng;1;0;0;0;0;0;0;0
Ahab;;"From Moby-Dick. Ahab hunted the white whale.";;0;0;0;0;0;0;0;0
Ahmadiyah;;"Islam Sect";;0;0;1;0;0;0;0;0
Ainu;;"[1] A native Japanese islander from Hokkaido. [2] A primitive person.";jpn;1;0;0;0;0;0;0;0
Ajam;;"Ajam means non-Arab specifically Persian. It might be used in a racist way against Persians.";ara;1;1;0;0;0;0;0;1
ajayee;;"Kamba slur for members of the Maasai ethnic community, from 'smelly'.";kam;1;0;0;0;0;0;0;0
akata;;"Pejorative term for African-Americans, from 'wild animal' or 'jackal'";yor;1;1;0;0;0;0;0;0
akhbaroshim;;"Combination of the word 'Arab'with the end of the Hebrew word 'rats'";heb;1;0;0;0;0;0;0;0
alaman;;"A person of German descent, used by the Turks in Germany.";tur;0;1;0;0;0;0;0;0
albino;;"A Caucasian person.";eng;1;0;0;0;0;0;0;0
"alligator bait";;"A black person, especially a black child. More commonly used in states where alligators are found, particularly Florida. First used in the early 20th century, although some hypothesize the term originated in the late 19th century.";eng;1;0;0;0;0;0;0;0
allochtoon;;"Non-Dutch, in Flanders non-Flemish. Originally a neutral official term, but acquired negative connotations, and is widely used in a derogatory sense.";nld;1;0;0;0;0;0;0;0
amakwerekwere;kwerekwere;"A foreigner, usually intended without offence";afr;1;1;0;0;0;0;0;0
ambattar;;"Unclean caste person";tam;0;0;0;0;0;0;1;0
"ame koh";;"An American.";jpn;0;1;0;0;0;0;0;0
Americoon;;"Combination of American and 'coon'";eng;1;0;0;0;0;0;0;0
AmeriKKKan;;"An American, denoting racist or fascist stereotypes";;0;1;0;0;0;0;0;0
Ami;;"Shortened from American, sometimes derogative.";deu;0;1;0;0;0;0;0;0
Amo;;"An Amish person.";eng;0;0;1;0;0;0;0;0
"anchor baby";;"A child of illegal immigrants, particularly in the United States, from the notion of dropping an anchor for other family members to acquire citizenship";eng;1;0;0;0;0;0;0;0
"ang mor";;"Singaporean slur for a Caucasian, from 'red devil'";msa;1;0;0;0;0;0;0;0
Angie;;"Used in Quebec to denote English-speaking Canadians, from 'Anglophone'.";eng;1;0;0;0;0;0;0;0
Anglo;;"A Caucasian, particularly an American";eng;1;0;0;0;0;0;0;0
Ann;;"A white woman to a black person, or a black woman who acts too much like a white one. While Miss Ann, also just plain Ann, is a derisive reference to the white woman, by extension it is applied to any black woman who puts on airs and tries to act like Miss Ann.";eng;1;0;0;0;0;0;0;0
ape;;"A black person.";eng;1;0;0;0;0;0;0;0
apple;;"An American Indian (Native American) who is 'red on the outside, white on the inside.' Used primarily by other American Indians to indicate someone who has lost touch with their cultural identity. First used in the 1980s.";eng;1;0;0;0;0;0;0;0
arabush;;"Arabs, derived from Hebrew 'Aravi' (Arab) which is itself non-offensive";heb;1;0;0;0;0;0;0;0
aracuano;;"Arab, person of Lebanese, Syrian, Iraqi or other Arabic-related countries; used in Mexico";spa;1;1;0;0;0;0;0;0
arapis;;"A person of African descent, from 'Arab'";ell;1;0;0;0;0;0;0;0
Argie;;"An Argentinian.";eng;0;1;0;0;0;0;0;0
Armo;;"A person of Armenian descent.";eng;1;0;0;0;0;0;0;0
Arsch;Arschloch;"[1] asshole [2] someone you don't like because of his behavior";deu;0;0;0;0;0;0;0;0
Arschgeburt;;"someone born from a rectum";deu;0;0;0;0;0;0;0;0
Arschloch;;"[1] asshole [2] someone you don't like because of his behavior";deu;0;0;0;0;0;0;0;0
Asylschmarotzer;;"Insult to refugees for exploiting there reliefs";deu;1;0;0;0;0;0;0;0
"Aunt Jane";"Aunt Jemima";"A black woman who 'kisses up' to white people, a 'sellout,' female counterpart of Uncle Tom.";eng;1;0;0;0;0;0;0;0
"Aunt Jemima";;"A black woman who 'kisses up' to white people, a 'sellout,' female counterpart of Uncle Tom.";eng;1;0;0;0;0;0;0;0
"Aunt Mary";"Aunt Jemima";"A black woman who 'kisses up' to white people, a 'sellout,' female counterpart of Uncle Tom.";eng;1;0;0;0;0;0;0;0
"Aunt Sally";"Aunt Jemima";"A black woman who 'kisses up' to white people, a 'sellout,' female counterpart of Uncle Tom.";eng;1;0;0;0;0;0;0;0
avalivavandu;;"Luhya slur for members of the Kikuyu, Embu or Meru ethnic communities, from 'hyenas who eat people'. May also denote financial or material exploitation.";luy;1;0;0;0;0;0;0;0
avaseeve;avalivavandu;"Luhya slur for members of the Kikuyu, Embu or Meru ethnic communities, from 'hyenas who eat people'. May also denote financial or material exploitation.";luy;1;0;0;0;0;0;0;0
azn;;"Abbreviation for 'asian'";eng;1;0;0;0;0;0;0;0
azungu;;"An English person.";nya;1;0;0;0;0;0;0;0
badugudugu;mudugudugu;"Originally used by southern ethnic Ugandans (Baganda, Basoga, etc) to describe soldiers who were considered rough and believed to be mostly from the north in the period 1960-1990s. The term has generally been extended to all luo and nilotic people (most of whom come from the north and east  of Uganda) and is used in an abusive context";lug;1;1;0;0;0;0;0;0
bahadur;;"Bahadur, means brave, has become a derogatory term for Nepali servants.";nep;1;1;0;0;0;0;0;0
"bai tou";;"Mandarin term for a Caucasian";cmn;1;0;0;0;0;0;0;0
baijo;;"Stranger or foreigner";jpn;1;0;0;0;0;0;0;0
Baitola;boiola;"Homossexual do sexo masculino";por;0;0;0;0;1;0;0;0
"bak guiy";;"Cantonese term for Caucasian, from 'white ghost'";zho;1;0;0;0;0;0;0;0
balija;;"Stupid Muslim, Dirty Muslim";bos;1;1;1;0;0;0;0;0
baluba;;"[1] A person of African ancestry, from the tribe which killed Irish UN workers in 1961 [2] A wild or unruly person";swa;1;0;0;0;0;0;0;0
baluga;;"Filipino term for a black person";fil;1;0;0;0;0;0;0;0
"bamboo coon";;"A person of Chinese ancestry";eng;1;1;0;0;0;0;0;0
banana;;"An Asian-American who has lost their heritage. Yellow on the outside, white on the inside.";eng;1;0;0;0;0;0;0;0
"banana bender";;"An Australian from Queensland";eng;0;1;0;0;0;0;0;0
"banana lander";"banana bender";"An Australian from Queensland";eng;0;1;0;0;0;0;0;0
Bangla;;"Term used in Malaysia and Singapore to denote a Bangladeshi person, with possible connotations of illegal and/or migrant labor";msa;0;1;0;0;0;0;0;0
"banjo lips";;"An African-American";eng;1;0;0;0;0;0;0;0
"bans and cans";;"Mexicans, Puerto Ricans and Cubans.";eng;1;1;0;0;0;0;0;0
basungu;musungu;"An English person.";bem;1;0;0;0;0;0;0;0
Bazi;;"Bazi is an offensive term used in Northern Germany to describe Bavarians. Derived from the ambiguous Bavarian/Austrian dialect term denoting a sly fellow.";deu;0;1;0;0;0;0;0;0
bazungu;muzungu;"An English person.";lug;0;0;0;0;0;0;0;0
"beach nigger";;"An overly tanned Caucasian";eng;1;0;0;0;0;0;0;0
"bean dipper";;"A non-hispanic person who dates hispanic women";eng;1;0;0;0;0;0;0;0
beaner;;"People of Mexican descent or, more specifically, mestizos of Central American descent. The term originates from the use of frijoles pintos and other beans in Mexican food.";eng;1;0;0;0;0;0;0;0
"beaner shnitzel";;"Offspring of a hispanic parent and a German parent";eng;1;1;0;0;0;0;0;0
beaney;beaner;"People of Mexican descent or, more specifically, mestizos of Central American descent. The term originates from the use of frijoles pintos and other beans in Mexican food.";eng;1;0;0;0;0;0;0;0
belegana;;"A Caucasian";nav;1;0;0;0;0;0;0;0
Bengali;;"This is not hate speech when applied to a Bengali citizen or inhabitant of Bangladesh, but is used by Myanmar Buddhists to foment hate and exclusion from citizenship of Muslims. Calling them ""Bengali"" indicates they should be eliminated from Myanmar.";eng;1;1;1;0;0;0;0;0
berberaap;;"Moroccan, literally Berber ape, refers to Berber ethnicity / language of most Moroccan immigrants in Netherlands and Belgium";;1;0;0;0;0;0;0;0
bergie;;"A homeless person in Cape Town, particularly one of African ancestry";afr;1;0;0;0;0;0;0;0
beur;;"French-born offspring of North African parents";fra;1;1;0;0;0;0;0;0
beurette;beur;"French-born offspring of North African parents";fra;1;1;0;0;0;0;0;0
bhrempti;;"An Indian, based on the perceived pronunciation of 'twenty'.";eng;1;1;0;0;0;0;0;0
biba;;"Male homosexual";por;0;0;0;0;1;0;0;0
bicha;;"Male homosexual";por;0;0;0;0;1;0;0;0
bichinha;bicha;"Male homosexual";por;0;0;0;0;1;0;0;0
bint;;"In the UK, derogatory word for woman";eng;0;0;0;1;0;0;0;0
bird;;"In the UK, derogatory word for woman";eng;0;0;0;1;0;0;0;0
bitch;;"A human female";eng;0;0;0;1;0;0;0;0
"bitter clinger";;"one who clings to their guns and religions";eng;0;0;0;0;0;0;1;0
"bix nood";;"An African-American";eng;1;0;0;0;0;0;0;0
"black Barbie";;"A black woman when she wears her hair and makeup to try and look like a white woman.";eng;1;0;0;0;0;0;0;0
"black dago";;"[1] A Sicilian [2] A darker-skinned Italian [3] An Italian of allegedly African ancestry";eng;1;1;0;0;0;0;0;0
blanco;;"A Caucasian.";spa;1;0;0;0;0;0;0;0
blaxican;;"A person of mixed Mexican and African ancestry";eng;1;1;0;0;0;0;0;0
blockhead;;"In Australia, a person of Macedonian descent.";eng;0;1;0;0;0;0;0;0
bludger;;"[1] A shiftless or unemployed person. [2] A pimp.";eng;0;0;0;0;0;0;1;0
bluegum;;"An African-American perceived as being lazy and who refuses to work.";eng;1;0;0;0;0;0;0;0
boche;;"A German (shortened from the French term caboche dure 'hard head' or 'stubborn').";fra;0;1;0;0;0;0;0;1
boffer;;"[1] In Hawaii or Polynesia, a black person. [2] Boffer, or boofer (a variant), can also refer to an unkempt or lower class person.";haw;1;0;0;0;0;0;1;0
bog;;"[1] A homosexual. [2] A Swede.";fin;1;1;0;1;1;0;0;0
"bog hopper";"Bog Irish";"A person of common or low class Irish ancestry.";eng;0;1;0;0;0;0;1;0
"Bog Irish";;"A person of common or low class Irish ancestry.";eng;0;1;0;0;0;0;1;0
"bog jumper";"Bog Irish";"A person of common or low class Irish ancestry.";eng;0;1;0;0;0;0;1;0
"bog trotter";"Bog Irish";"A person of common or low class Irish ancestry.";eng;0;1;0;0;0;0;1;0
bogan;;"[1] A male Native American. [2] In Australia or New Zealand, white trash or a redneck.";eng;1;1;0;0;0;0;1;0
bohunk;;"A person of east-central European descent. Originally referred to those of Bohemian (now Czech Republic) descent. It was commonly used toward Ukrainian immigrants during the early 20th century.";;1;1;0;0;0;0;0;0
boiola;;"Homossexual do sexo masculino";por;0;0;0;0;1;0;0;0
bolillo;;"Mexican slur for a Caucasian";spa;1;0;0;0;0;0;0;0
bong;boong;"[1] Australian aboriginal. Boong, pronounced with (like the vowel in bull), is related to the Australian English slang word bung, meaning dead; infected; or dysfunctional. From bung, to go bung 'Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]'. Highly offensive. [2] In New Zealand, a Pacific Islander.";eng;1;0;0;0;0;0;0;0
boo;jigaboo;"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.";eng;1;0;0;0;0;0;0;0
boofer;boffer;"[1] In Hawaii or Polynesia, a black person. [2] Boffer, or boofer (a variant), can also refer to an unkempt or lower class person.";haw;1;0;0;0;0;0;1;0
boojie;;"[1] A middle-class American, derived from bourgeois [2] Allegedly also a slur for Indians";eng;1;0;0;0;0;0;1;1
"book book";;"In Hawaii, denotes a Filipino, from the alleged sound of Filipino language.";eng;1;1;0;0;0;0;0;0
boon;booner;"Canberra word for white trash or redneck, sometimes shortened to boon";eng;0;1;0;0;0;0;1;0
booner;;"Canberra word for white trash or redneck, sometimes shortened to boon";eng;0;1;0;0;0;0;1;0
boong;;"[1] Australian aboriginal. Boong, pronounced with (like the vowel in bull), is related to the Australian English slang word bung, meaning dead; infected; or dysfunctional. From bung, to go bung 'Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]'. Highly offensive. [2] In New Zealand, a Pacific Islander.";eng;1;0;0;0;0;0;0;0
boonga;boong;"[1] Australian aboriginal. Boong, pronounced with (like the vowel in bull), is related to the Australian English slang word bung, meaning dead; infected; or dysfunctional. From bung, to go bung 'Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]'. Highly offensive. [2] In New Zealand, a Pacific Islander.";eng;1;0;0;0;0;0;0;0
boonie;boong;"[1] Australian aboriginal. Boong, pronounced with (like the vowel in bull), is related to the Australian English slang word bung, meaning dead; infected; or dysfunctional. From bung, to go bung 'Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]'. Highly offensive. [2] In New Zealand, a Pacific Islander.";eng;1;0;0;0;0;0;0;0
bor;;"Derogatory word for Tutsis in the Congo, from 'penis' or 'thing'.";run;1;0;0;0;0;0;0;0
"border bunny";wetback;"A person of Latino descent, particularly a Mexican migrant laborer.";eng;1;0;0;0;0;0;0;0
"border hopper";wetback;"A person of Latino descent, particularly a Mexican migrant laborer.";eng;1;0;0;0;0;0;0;0
"border jumper";wetback;"A person of Latino descent, particularly a Mexican migrant laborer.";eng;1;0;0;0;0;0;0;0
"border nigger";wetback;"A person of Latino descent, particularly a Mexican migrant laborer.";eng;1;0;0;0;0;0;0;0
bosch;boche;"A German (shortened from the French term caboche dure 'hard head' or 'stubborn').";fra;0;1;0;0;0;0;0;1
bosche;boche;"A German (shortened from the French term caboche dure 'hard head' or 'stubborn').";fra;0;1;0;0;0;0;0;1
boskur;;"Slovenian slur for uneducated workers from Bosnia and Herzegovina, from Bosnian and chefur";slv;1;1;0;0;0;0;1;0
bosyanju;;"Luhya slur for members of the Sabaot ethnic community, from 'arsonist'.";luy;1;0;0;0;0;0;0;0
bougnoule;;"In France, a person of African or Middle Eastern descent";fra;1;0;0;0;0;0;0;0
"Bounty bar";;"White on the inside and brown on the outside, like a Bounty chocolate bar. As with wigger, this is both a subcultural and ethnic slur. The immediate target is criticized for having the cultural values of a different ethnic group, with the implication that the ethnic group in question is bad or inferior. Coconut and Oreo are used in the same way.";eng;1;0;0;0;0;0;0;0
boxhead;;"A person of German descent.";eng;0;1;0;0;0;0;0;0
bozgor;;"[1] Term used in Eastern Europe for ethnic Hungarians living in different countries after WWI. [2] A Romanian who has moved to Transylvania (which used to be under Hungary), from 'without country'.";ron;1;1;0;0;0;0;0;0
"brass ankle";;"[1] A person of mixed Caucasian, Native American, and African ancestry in Southern Carolina [2] A person of African ancestry attempting to pass as Caucasian";eng;1;0;0;0;0;0;0;0
Braun;;"[1] brown [2] something associated with nazis, German right wing extremism, antisemitism, etc.";deu;0;0;0;0;0;0;0;0
brownie;;"[1] A person of mixed white and black ancestry; a mulatto. [2] A young, brown-skinned person 1940s-1950s.";eng;1;0;0;0;0;0;0;0
bubble;;"A person of Greek descent. 'Bubble and squeak' is Cockney slang for Greek.";eng;1;1;0;0;0;0;0;0
buck;;"[1] A male Native American. [2] A male black person.";eng;1;0;0;0;0;0;0;0
buckethead;;"A person of Korean descent.";eng;1;1;0;0;0;0;0;0
buckra;;"African-Americans slur for Caucasians in the Southeast United States , particularly Caucasians in a position of authority, possibly from Efik word 'mbakara' meaning 'master'";eng;1;0;0;0;0;0;0;0
Buckwheat;;"A black person, from the character on The Little Rascals.";eng;1;0;0;0;0;0;0;0
Buddhahead;;"An Asian. Also used by mainland Japanese Americans to refer to Hawaiian Japanese Americans since World War II.";eng;1;0;0;0;0;0;0;0
"budos olah";;"Hungarian slur in Transylvania, from 'stinky Romanian'";hun;1;1;0;0;0;0;0;0
buffie;;"[1] A black person. [2] a young, brown-skinned person 1940s-1950s";eng;1;0;0;0;0;0;0;1
"bug eater";;"An person of Asian descent.";eng;1;0;0;0;0;0;0;0
bugre;;"A Brazilian indigenous Indian";por;1;0;0;0;0;0;0;0
"buk buk";"book book";"In Hawaii, denotes a Filipino, from the alleged sound of Filipino language.";eng;1;1;0;0;0;0;0;0
bule;;"A foreigner, particularly Caucasians. Means Albino; sometimes used in pejorative manner.";ind;1;1;0;0;0;0;0;0
buleh;;"[1] An albino [2] A Caucasian";ind;1;0;0;0;0;0;0;0
Bulgaroskopian;;"Used by Greeks when referring to the Macedonians in an attempt to deny self-identification";ell;0;1;0;0;0;0;0;0
bumblebee;;"A person of mixed black and Asian parentage.";eng;1;0;0;0;0;0;0;0
bume;;"Suri slur for neighboring tribe, the Nyangatom, meaning 'smelly ones'";suq;1;0;0;0;0;0;0;0
bung;boong;"[1] Australian aboriginal. Boong, pronounced with (like the vowel in bull), is related to the Australian English slang word bung, meaning dead; infected; or dysfunctional. From bung, to go bung 'Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]'. Highly offensive. [2] In New Zealand, a Pacific Islander.";eng;1;0;0;0;0;0;0;0
bunga;boong;"[1] Australian aboriginal. Boong, pronounced with (like the vowel in bull), is related to the Australian English slang word bung, meaning dead; infected; or dysfunctional. From bung, to go bung 'Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]'. Highly offensive. [2] In New Zealand, a Pacific Islander.";eng;1;0;0;0;0;0;0;0
burrhead;;"A black person (referencing stereotypical hair type).";eng;1;0;0;0;0;0;0;0
butterhead;;"[1] A person of African descent. [2] WWII slur for a Japanese person.";eng;1;1;0;0;0;0;0;0
buzi;;"Gay (male)hu";hun;0;0;0;0;1;0;0;0
"cab nigger";;"A person of Indian or Middle Eastern descent, based on the perceived surfeit of immigrants driving cabs in the United States.";eng;1;0;0;0;0;0;0;0
"cabezas cuadradas";;"Literally 'square heads', after the alleged German inclination for fixed rules instead of improvisation.";spa;0;1;0;0;0;0;0;0
"cabezita negra";;"An Argentine of mixed or indigenous heritage";spa;1;0;0;0;0;0;0;0
caboclo;;"[1] Brazilian word for a person of mixed indigenous and European parentage. [2] Can also denote a culturally assimilated person of full Amerindian descent.";por;1;0;0;0;0;0;0;0
caboco;caboclo;"[1] Brazilian word for a person of mixed indigenous and European parentage. [2] Can also denote a culturally assimilated person of full Amerindian descent.";por;1;0;0;0;0;0;0;0
caco;;"A Puerto Rican who adopts hip-hop fashion";spa;0;0;0;0;0;0;1;0
cacorro;;"A male homosexual";spa;0;0;0;0;1;0;0;0
caffre;kaffir;"[1] A black person (South Africa) [2] A non-Muslim of any ethnicity. Derived from Arabic Kafir - disbeliever or infidel.";ara;1;1;1;0;0;0;0;0
cafuzo;;"A person of mixed indigenous and African parentage. Similar origins as Spanish word ""zambo"".";por;1;0;0;0;0;0;0;0
"camel cowboy";"camel jockey";"Person of Middle Eastern descent.";eng;1;0;0;0;0;0;0;0
"camel fucker";;"[1] An Arab. [2] A Muslim.";eng;1;1;1;0;0;0;0;0
"camel humper";"camel jockey";"Person of Middle Eastern descent.";eng;1;0;0;0;0;0;0;0
"camel jacker";"camel jockey";"Person of Middle Eastern descent.";eng;1;0;0;0;0;0;0;0
"camel jockey";;"Person of Middle Eastern descent.";eng;1;0;0;0;0;0;0;0
"can eater";;"An Austrialian, from the perception that Australians drink a lot of canned beer.";eng;1;0;0;0;0;0;0;0
carcamano;;"In Brazil, an offensive nickname for non-Iberian, mostly Italian immigrants. derives from the venezian word 'Carcamanu'.";por;1;1;0;0;0;0;0;0
"carpet pilot";;"A person of Arabic descent, from Aladdin and his magic carpet.";eng;1;0;0;0;0;0;0;0
"carrot snapper";;"A Mormon, presumably inspired by agriculture in Utah";eng;0;0;1;0;0;0;1;0
casado;;"In Sri Lanka, a person of mixed Portuguese and Sri Lankan (Sinhalese and Tamil) descent";por;1;1;0;0;0;0;0;0
Caublasian;;"A person of mixed Caucasian, African and Asian heritage";eng;1;0;0;0;0;0;0;0
"cave nigger";;"A person of Middle Eastern descent";eng;1;0;0;0;0;0;1;0
cefur;;"Slovenian slur for a person of southern Slavic or Balkan heritage, written as 'Čefur'";slv;1;1;0;0;0;0;0;0
celestial;;"In the late 1900s, Chinese people in Australia were often referred to as 'Celestials', a reference to their coming from the 'Celestial Empire' (i.e. China)";eng;1;1;0;0;0;0;0;1
cerrero;;"In Puerto Rico, refers to a rural person";spa;0;0;0;0;0;0;1;0
cetnik;;"[1] Member of Serbian fascist movement, [2] Derogatory term for Serb of Orthodox christian faith";bos;1;1;1;0;0;0;0;0
"chach chach";;"A Jewish separadic man who is thought to be volgar or violent person.";heb;1;0;0;0;0;0;1;0
"chakh chakh";;"Employed by Ashkenazi Jews and integrated Israelis in reference to Mizrahi Jews, from the pronunciation of Hebrew consonants";heb;1;0;1;0;0;0;0;0
chalckiliyar;;"Unclean (low) caste person";tam;0;0;0;0;0;0;1;0
chale;;"[1] Derogatory term used in Mexico and elsewhere to denote a Chinese person. [2] Can also mean ""friend"" in Ghana or West Africa.";spa;1;1;0;0;0;0;0;0
champinon;;"In Spain, an Ecuadorian immigrant from the stereotype of being short with a big head.";spa;0;1;0;0;0;0;0;0
"chan koro";;"A person of Chinese ancestry";jpn;0;1;0;0;0;0;0;1
chankoro;;"Japanese slur for a Chinese person, from チャンコロ";jpn;1;1;0;0;0;0;0;0
chapat;chapta;"A person of Asian descent";urd;1;0;0;0;0;0;0;0
chapata;chapta;"A person of Asian descent";urd;1;0;0;0;0;0;0;0
chapeton;;"A recent European immigrant to Latin America";spa;1;0;0;0;0;0;0;0
chapetona;chapeton;"A recent European immigrant to Latin America";spa;1;0;0;0;0;0;0;0
chapin;;"A Guatemalan";spa;0;1;0;0;0;0;0;0
chapina;chapin;"A Guatemalan";spa;0;1;0;0;0;0;0;0
chapta;;"A person of Asian descent";urd;1;0;0;0;0;0;0;0
Charlie;;"[1] To African-Americans of the 1960s-1970s, white people as a reified collective oppressor group, similar to The Man or The System. [2] Non-pejorative slang term used by American troops as a shorthand term for Vietnamese guerrillas. Derived from the verbal shorthand for 'Victor Charlie', the NATO phonetic alphabet for VC, the abbreviation for Viet Cong. Other references to the Viet Cong included 'Mr. Charles' as a rueful admission of the skill at asymmetric warfare.";eng;1;1;0;0;0;0;0;1
charnega;charnego;"A Catalonian immigrant";spa;1;0;0;0;0;0;0;0
charnego;;"A Catalonian immigrant";spa;1;0;0;0;0;0;0;0
charva;;"A disreputable and/or working class person";eng;0;0;0;0;0;0;1;0
charver;charva;"A disreputable and/or working class person";eng;0;0;0;0;0;0;1;0
chav;;"In the UK, an unsophisticated or working class person with a predilection for ostentatious sportswear and jewellery";eng;0;0;0;0;0;0;1;0
"chee chee";;"An Anglo-Indian or Eurasian half-caste [probably from Hindi chi-chi fie!, literally, dirt] Also can refer to English spoken with a Southwest Asian accent.";eng;1;0;0;0;0;0;0;0
cheena;;"Person of Chinese descent.";sin;0;1;0;0;0;0;0;0
"cheese eating surrender monkey";;"A French person, from the defeat of the French against the German in 1940, and the huge variety of cheeses originating from France. Gained popularity after the term was used on an episode of The Simpsons and was subsequently adopted by right-wing pundits. Rarely used today.";eng;0;1;0;0;0;0;0;1
chefur;kaffir;"[1] A black person (South Africa) [2] A non-Muslim of any ethnicity. Derived from Arabic Kafir - disbeliever or infidel.";ara;1;1;1;0;0;0;0;0
chekwa;;"Filipino slur for a Chinese person";tgl;1;1;0;0;0;0;0;0
chele;guero;"A word used in Mexico to denote a person of fair complexion or with blond or red hair";spa;0;0;0;0;0;0;0;0
chelo;guero;"A word used in Mexico to denote a person of fair complexion or with blond or red hair";spa;0;0;0;0;0;0;0;0
chernozhopiy;;"Russian slur for any dark-skinned person, from 'black ass'";rus;1;0;0;0;0;0;0;0
cheuchter;teuchter;"A person from the north of Scotland or rural Scottish areas.";sco;1;1;0;0;0;0;0;0
"chi chi";"chee chee";"An Anglo-Indian or Eurasian half-caste [probably from Hindi chi-chi fie!, literally, dirt] Also can refer to English spoken with a Southwest Asian accent.";eng;1;0;0;0;0;0;0;0
chief;;"A male Native American.";;0;0;0;0;0;0;0;0
chigger;;"[1] A Chinese person trying to act like a black person. [2] A person of mixed black and Asian parentage.";eng;1;1;0;0;0;0;0;0
Chilango;;"Mexican slang demonym for a person born in the suburbs or surrounding areas of Mexico City who has moved to Mexico City";spa;0;1;0;0;0;0;0;0
"chili shitter";;"A person of Hispanic descent.";eng;1;0;0;0;0;0;0;0
Chinaman;;"Found offensive, although it is a translation of the Chinese. It was used in the gold rush and railway-construction eras in western North America, when discrimination against Chinese was common.";eng;0;1;0;0;0;0;0;1
"Chinese wetback";;"A Filipino, particularly having a Mexican and Chinese heritage.";eng;1;1;0;0;0;0;0;0
Chinetoque;;"A Chinese person";fra;1;1;0;0;0;0;0;0
"ching chong";;"A person of perceived Chinese or East Asian descent. An offensive term that has raised considerable controversy, for example when used by comedian Rosie O'Donnell.";eng;1;0;0;0;0;0;0;0
chingeleshi;;"An English person.";bem;1;0;0;0;0;0;0;0
chinig;;"A person of mixed black and Chinese parentage.";eng;1;1;0;0;0;0;0;0
"chinja chinja";;"Literally 'butcher, butcher', as an incitement to violence.";swa;0;0;0;0;0;0;0;0
chink;;"A person of Chinese descent. Considered extremely derogatory, exemplified by a US school that had to stop using the term as a sports mascot in 1980.";eng;0;1;0;0;0;0;0;0
"chink a billy";;"A rural person of Chinese descent.";eng;1;1;0;0;0;0;1;0
chizungu;azungu;"An English person.";nya;1;0;0;0;0;0;0;0
chleuh;;"A person of German descent. From the name of the Chleuh, a North African ethnicity — a term with racial connotations. It also denotes the absence of words beginning in Schl- in French. It was used mainly in World War II (for example, in the film Inglourious Basterds) but is also used now in a less offensive way like in the film Taxi.";fra;0;1;0;0;0;0;0;0
cholero;;"Not classy, Lower than ordinary";spa;0;0;0;0;0;0;1;0
